nom,code_postal,ville,siret,adresse
"Tribunal de proximité de Sarrebourg","57400","Sarrebourg","17570111900067","52 Avenue Clémenceau"
"Tribunal de proximité de Saint-Avold","57500","Saint-Avold","17570111900075","37 Avenue Clémenceau"
"Tribunal de proximité de Cholet","49300","Cholet","17490111600080","rue François Tharreau"
"Tribunal de proximité de Saint-Benoit","97470","Saint-Benoit","17974111100084","2 et 4 rue Philibert"
"Tribunal de proximité de Guebwiller","68500","Guebwiller","17680111600086","1 place Saint-Léger"
"Tribunal de proximité de Muret","31600","Muret","17310111400093","58 Rue Clément Ader"
"Tribunal de proximité de Guingamp","22200","Guingamp","17350111500096","38 place du centre"
"Tribunal de proximité de Jonzac","17500","Jonzac","17860111800098","35 Rue des Carmes"
"Tribunal de proximité de Montbrison","42600","Montbrison","17690111400098","13 rue du Palais de Justice"
"Tribunal de proximité de Saint-Martin","97150","Saint-Martin","17971111400100","23 Rue de la Liberté"
"Tribunal de proximité d'Aulnay-sous-Bois","93600","AULNAY SOUS BOIS","17750111100104","10 Boulevard Hoche"
"Tribunal de proximité de Calais","62103","CALAIS CEDEX","17590111500121","15 Place Crèvecoeur"
"Tribunal de proximité de Figeac","46100","Figeac","17470111000127","1 boulevard Juskiewenski"
"Tribunal de proximité de Dreux","28100","Dreux","17780111500128","2 place Anatole France"
"Tribunal de proximité de La Flèche","72200","La Flèche","17490111600130","1 rue Saint-Thomas"
"Tribunal de proximité de Salon-de-Provence","13300","Salon-de-Provence","17130111200131","481 Boulevard de la République"
"Tribunal de proximité de Castelsarrasin","82100","Castelsarrasin","17310111400135","2 ter rue de la Fraternité"
"Tribunal de proximité de Redon","35600","Redon","17350111500146","3 Rue Joseph Desmars"
"Tribunal de proximité d'Orange","84100","Orange","17300111600149","Rue de Tourre"
"Tribunal de proximité de Nantua","01130","Nantua","17690111400155","4 Place d'Armes"
"Tribunal de proximité des Andelys","27700","Les Andelys","17760111900163","Boulevard du Général de Gaulle"
"Tribunal de proximité de Condom","32100","Condom","17470111000168","Place Lannelongue"
"Tribunal de proximité de Rambouillet","78514","RAMBOUILLET CEDEX","17780111500169","56 Rue Gambetta"
"Tribunal de proximité de Sélestat","67600","Sélestat","17680111600177","17 allée de la 1ère Armée"
"Tribunal de proximité de Saint-Germain-en-Laye","78105","SAINT GERMAIN EN LAYE","17780111500177","22 rue de la Maison Verte"
"Tribunal de proximité de Fougères","35300","Fougères","17350111500179","5 place Aristide Briand"
"Tribunal de proximité de Lure","70200","Lure","17250111600179","60 avenue de la République"
"Tribunal de proximité de Saint-Dizier","52100","Saint-Dizier","17210111500183","12 Rue de la Commune de Paris"
"Tribunal de proximité de Schiltigheim","67300","Schiltigheim","17680111600185","10 rue du Tribunal"
"Tribunal de proximité de Mantes-la-Jolie","78200","MANTES LA JOLIE","17780111500193","20 Avenue de la République"
"Tribunal de proximité de Roubaix","59100","ROUBAIX","17590111500204","45 rue du Grand Chemin"
"Tribunal de proximité d'Oloron-Sainte-Marie","64400","Oloron-Sainte-Marie","17640111500207","Place Mendiondou"
"Tribunal de proximité de Sedan","08200","Sedan","17510111200209","1 Rue de la Comédie"
"Tribunal de proximité d'Haguenau","67500","Haguenau","17680111600219","41 rue de la Redoute"
"Tribunal de proximité de Gonesse","95501","GONESSE CEDEX","17780111500227","1 place de la Liberté"
"Tribunal de proximité d'Avranches","50300","Avranches","17140111000233","place Jean de Saint Avit"
"Tribunal de proximité de Montmorency","95160","MONTMORENCY","17780111500235","1 place Pierre Mendès France"
"Tribunal de proximité de Pontarlier","25300","Pontarlier","17250111600237","1 Place Villingen Schwenningen"
"Tribunal de proximité de Villeneuve-sur-Lot","47300","Villeneuve-sur-lot","17470111000242","6 rue du Général Lafon de Blaniac"
"Tribunal de proximité de Molsheim","67120","Molsheim","17680111600243","3 rue Maréchal Kellermann"
"Tribunal de proximité de Maubeuge","59607","MAUBEUGE CEDEX","17590111500246","place du docteur Pierre Forest"
"Tribunal de proximité de Sarlat-la-Canéda","24205","SARLAT LA CANEDA","17330111000271","Place de la Grande Rigaudie"
"Tribunal de proximité de Clamecy","58500","Clamecy","17180111100278","Place Emile Zola"
"Tribunal de proximité de Vichy","03200","Vichy","17630111700287","26 Boulevard Carnot"
"Tribunal de proximité de Colombes","92700","COLOMBES","17780111500292","9 Rue Gabriel Péri"
"Tribunal de proximité de Montélimar","26200","Montélimar","17380111900301","Place Emile Loubet"
"Tribunal de proximité d'Annemasse","74100","Annemasse","17730111600303","20 rue Léandre Vaillat"
"Tribunal de proximité de Riom","63200","Riom","17630111700311","Rue Jean de Berry"
"Tribunal de proximité de Courbevoie","92400","COURBEVOIE","17780111500318","25 Rue du Président Kruger"
"Tribunal de proximité de Thiers","63300","Thiers","17630111700329","6 Place Saint-Genés"
"Tribunal de proximité de Puteaux","92801","PUTEAUX CEDEX","17780111500334","131 rue de la République"
"Tribunal de proximité d'Aubagne","13400","Aubagne","17130111200339","Avenue de Verdun"
"Tribunal de proximité de Vanves","92170","VANVES","17780111500342","34 Rue Antoine Fratacci"
"Tribunal de proximité de Villeurbanne","69100","Villeurbanne","17690111400346","3 r du Dr Pierre Fleury Papillon"
"Tribunal de proximité d'Uzès","30700","Uzès","17300111600347","place de l'Evéché"
"Tribunal de proximité de Menton","06500","MENTON","17130111200347","7 Rue Prato"
"Tribunal de proximité de Péronne","80200","Péronne","17800111100354","57 rue Saint-Fursy"
"Tribunal de proximité de Tourcoing","59200","TOURCOING","17590111500360","65 Rue de Gand"
"Tribunal de proximité de Cannes","06130","Cannes","17130111200362","19 boulevard Carnot"
"Tribunal de proximité de Millau","12100","Millau","17340111800380","2 Boulevard de l'Ayrolle"
"Tribunal de proximité de Romans-sur-Isère","26100","Romans-sur-Isère","17380111900384","place Jules Nadi- Escalier de la Poste"
"Tribunal de proximité de Bernay","27300","Bernay","17760111900387","Place Gustave Héon"
"Tribunal de proximité de Saint-Claude","39200","Saint-Claude","17250111600393","12 Rue Rosset"
"Tribunal de proximité d'Abbeville","80100","Abbeville","17800111100396","79 rue du Maréchal Foch"
"Tribunal de proximité du Creusot","71200","Le Creusot","17210111500399","20 Rue de la Chaise"
"Tribunal de proximité de Fontenay-le-Comte","85200","Fontenay-le-Comte","17860111800403","26 Rue Rabelais"
"Tribunal de proximité de Lens","62305","LENS CEDEX","17590111500410","11 rue de l'Hospice"
"Tribunal de proximité de Marmande","47200","Marmande","17470111000416","1 Place des Droits de l'Homme"
"Tribunal de proximité de Lunéville","54300","Lunéville","17540111600421","7 Rue du Château"
"Tribunal de proximité de Saint-Flour","15100","Saint-Flour","17630111700444","1 Rue du Théâtre"
"Tribunal de proximité de Montreuil (62)","62170","MONTREUIL","17590111500444","1 Rue des Carmes"
"Tribunal de proximité de Manosque","04100","Manosque","17130111200453","rue des tanneurs"
"Tribunal de proximité de Bressuire","79300","Bressuire","17860111800478","19 boulevard Albert 1er"
"Tribunal de proximité de Saint-Amand-Montrond","18200","Saint-Amand-Montrond","17180111100484","11 Cours Manuel"
"Tribunal de proximité de Saint-Dié-des-Vosges","88100","Saint-Dié-des-Vosges","17540111600488","20 rue d'Amérique"
"Tribunal de proximité de Saint-Maur-des-Fossés","94100","SAINT MAUR DES FOSSES","17750111100492","1 Avenue Gambetta"
"Tribunal de proximité de Trévoux","01600","Trévoux","17690111400494","1 Rue du Palais"
"Tribunal de proximité de Nogent-sur-Marne","94735","NOGENT SUR MARNE CEDEX","17750111100500","19 Rue Charles VII"
